mar 9/13:19:52.697 DEBUG2 : 		STLinkOpen
mar 9/13:19:52.908 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:52.908 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:52.908 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.909 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.909 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.909 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.909 DEBUG2 : 		Go >
mar 9/13:19:52.913 DEBUG2 : 		Go <
mar 9/13:19:52.920 DEBUG2 : 		STLinkIsCpuHalted - Stopped
mar 9/13:19:52.921 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:52.921 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:52.921 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.922 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.922 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.922 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.922 DEBUG2 : 		ReadReg Index=0x0F
mar 9/13:19:52.930 DEBUG2 : 		ReadTarget16 Address=0x200000C0 AP=0 Count=2 Data=0xE7FE
mar 9/13:19:52.931 DEBUG2 : 		ReadTarget32 Address=0x2001EF84 AP=0 Count=20 Data=0x08000000 ...
mar 9/13:19:52.932 DEBUG2 : 		WriteTarget32 Address=0x20000400 AP=0 Count=16 Data=0x08000000 ...
mar 9/13:19:52.933 DEBUG2 : 		WriteTarget32 Address=0x2001EF84 AP=0 Count=20 Data=0x00000000 ...
mar 9/13:19:52.934 DEBUG2 : 		STLinkWriteReg Index=0x0F Data=0x200003A4
mar 9/13:19:52.934 DEBUG2 : 		ReadReg Index=0x00
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x01
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x02
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x03
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x04
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x05
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x06
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x07
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x08
